timestamp,dpid,priority,in_port,eth_src,eth_dst,packet_count,byte_count,duration_sec
2026-04-20 17:33:07,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:04,2,140,35
2026-04-20 17:33:07,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:02,3,238,35
2026-04-20 17:33:07,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:05,2,140,35
2026-04-20 17:33:07,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:03,3,238,35
2026-04-20 17:33:07,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:04,2,140,35
2026-04-20 17:33:07,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:03,3,238,35
2026-04-20 17:33:07,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:05,2,140,35
2026-04-20 17:33:07,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:04,3,238,34
2026-04-20 17:33:07,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:05,2,140,34
2026-04-20 17:33:17,0000000000000002,0,ANY,ANY,ANY,45,2981,1600
2026-04-20 17:33:27,0000000000000002,0,ANY,ANY,ANY,45,2981,1610
2026-04-20 17:33:37,0000000000000002,0,ANY,ANY,ANY,45,2981,1620
2026-04-20 17:33:47,0000000000000002,0,ANY,ANY,ANY,45,2981,1630
2026-04-20 17:33:57,0000000000000002,0,ANY,ANY,ANY,46,3051,1640
2026-04-20 17:34:07,0000000000000002,0,ANY,ANY,ANY,46,3051,1650
2026-04-20 17:34:17,0000000000000002,0,ANY,ANY,ANY,46,3051,1660
2026-04-20 17:34:27,0000000000000002,0,ANY,ANY,ANY,47,3121,1670
2026-04-20 17:34:37,0000000000000002,0,ANY,ANY,ANY,47,3121,1680
2026-04-20 17:34:47,0000000000000002,0,ANY,ANY,ANY,47,3121,1690
2026-04-20 17:34:57,0000000000000002,0,ANY,ANY,ANY,47,3121,1700
2026-04-20 17:35:07,0000000000000002,0,ANY,ANY,ANY,47,3121,1710
2026-04-20 17:35:17,0000000000000002,0,ANY,ANY,ANY,47,3121,1720
2026-04-20 17:35:27,0000000000000002,0,ANY,ANY,ANY,47,3121,1730
2026-04-20 17:35:37,0000000000000002,0,ANY,ANY,ANY,47,3121,1740
2026-04-20 17:35:47,0000000000000002,0,ANY,ANY,ANY,47,3121,1750
2026-04-20 17:35:57,0000000000000002,0,ANY,ANY,ANY,47,3121,1760
2026-04-20 17:36:07,0000000000000002,0,ANY,ANY,ANY,48,3191,1770
2026-04-20 17:36:17,0000000000000002,0,ANY,ANY,ANY,48,3191,1780
2026-04-20 17:36:27,0000000000000002,0,ANY,ANY,ANY,48,3191,1790
2026-04-20 17:36:37,0000000000000002,0,ANY,ANY,ANY,49,3261,1800
2026-04-20 17:36:47,0000000000000002,0,ANY,ANY,ANY,49,3261,1810
2026-04-20 17:36:57,0000000000000002,0,ANY,ANY,ANY,50,3368,1820
2026-04-20 17:37:07,0000000000000002,0,ANY,ANY,ANY,50,3368,1830
2026-04-20 17:37:17,0000000000000002,0,ANY,ANY,ANY,50,3368,1840
2026-04-20 17:37:27,0000000000000002,0,ANY,ANY,ANY,50,3368,1850
2026-04-20 17:37:37,0000000000000002,0,ANY,ANY,ANY,50,3368,1860
2026-04-20 17:37:47,0000000000000002,0,ANY,ANY,ANY,50,3368,1870
2026-04-20 17:37:57,0000000000000002,0,ANY,ANY,ANY,50,3368,1880
2026-04-20 17:38:07,0000000000000002,0,ANY,ANY,ANY,50,3368,1890
2026-04-20 17:38:17,0000000000000002,0,ANY,ANY,ANY,50,3368,1900
2026-04-20 17:38:27,0000000000000002,0,ANY,ANY,ANY,50,3368,1910
2026-04-20 17:38:37,0000000000000002,0,ANY,ANY,ANY,50,3368,1920
2026-04-20 17:38:47,0000000000000002,0,ANY,ANY,ANY,50,3368,1930
2026-04-20 17:38:57,0000000000000002,0,ANY,ANY,ANY,50,3368,1940
2026-04-20 17:39:07,0000000000000002,0,ANY,ANY,ANY,50,3368,1950
2026-04-20 17:39:17,0000000000000002,0,ANY,ANY,ANY,50,3368,1960
2026-04-20 17:39:27,0000000000000002,0,ANY,ANY,ANY,51,3438,1970
2026-04-20 17:39:38,0000000000000002,0,ANY,ANY,ANY,51,3438,1980
2026-04-20 17:39:48,0000000000000002,0,ANY,ANY,ANY,51,3438,1990
2026-04-20 17:39:58,0000000000000002,0,ANY,ANY,ANY,51,3438,2000
2026-04-20 17:40:08,0000000000000002,0,ANY,ANY,ANY,51,3438,2010
2026-04-20 17:40:18,0000000000000002,0,ANY,ANY,ANY,51,3438,2020
2026-04-20 17:40:28,0000000000000002,0,ANY,ANY,ANY,51,3438,2030
2026-04-20 17:40:38,0000000000000002,0,ANY,ANY,ANY,51,3438,2040
2026-04-20 17:40:48,0000000000000002,0,ANY,ANY,ANY,51,3438,2050
2026-04-20 17:40:58,0000000000000002,0,ANY,ANY,ANY,51,3438,2060
2026-04-20 17:41:08,0000000000000002,0,ANY,ANY,ANY,51,3438,2070
2026-04-20 17:41:18,0000000000000002,0,ANY,ANY,ANY,51,3438,2080
2026-04-20 17:41:28,0000000000000002,0,ANY,ANY,ANY,51,3438,2090
2026-04-20 17:41:38,0000000000000002,0,ANY,ANY,ANY,52,3508,2100
2026-04-20 17:41:48,0000000000000002,0,ANY,ANY,ANY,52,3508,2110
2026-04-20 17:41:58,0000000000000002,0,ANY,ANY,ANY,52,3508,2120
2026-04-20 17:42:08,0000000000000002,0,ANY,ANY,ANY,52,3508,2130
2026-04-20 17:42:18,0000000000000002,0,ANY,ANY,ANY,52,3508,2140
2026-04-20 17:42:28,0000000000000002,0,ANY,ANY,ANY,52,3508,2150
2026-04-20 17:42:38,0000000000000002,0,ANY,ANY,ANY,52,3508,2160
2026-04-20 17:42:48,0000000000000002,0,ANY,ANY,ANY,52,3508,2170
2026-04-20 17:42:58,0000000000000002,0,ANY,ANY,ANY,52,3508,2180
2026-04-20 17:43:08,0000000000000002,0,ANY,ANY,ANY,52,3508,2190
2026-04-20 17:43:18,0000000000000002,0,ANY,ANY,ANY,52,3508,2200
